Month,Total Trips,Subscriber Trips Count,% Subscriber Trips,Customer Trips Count,% Customer Trips,Start Station Count,Bike ID Count
Jan,1240596,1145819,92.36036550174272,94777,7.639634498257289,893,13049
Feb,1146830,1054927,91.98634496830394,91903,8.013655031696066,890,13218
Mar,1068457,914068,85.55028419487168,154389,14.44971580512833,889,14882
Apr,682762,516495,75.64788315694196,166267,24.35211684305805,887,14780
May,1487890,1012059,68.01974608337981,475831,31.980253916620182,923,15003
Jun,1882273,1306688,69.42074821240064,575585,30.579251787599354,958,15849
Jul,2105808,1530982,72.7028295077234,574826,27.2971704922766,989,17075
Aug,2329514,1671914,71.77093591195417,657600,31.22791821476602,1039,17835
Sep,2488225,1817674,73.05103035296246,670551,26.948969647037547,1087,18283
Oct,2248869,1702115,75.68760118975361,546754,24.312398810246393,1144,18472
